,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Neckargemünd,Neckargemünd,LOC,1.05263158,0.00000000,de,1.90000000,4102409-6,2866774,X,49.38898900,8.79589900,EUROPE,Germany,WCE
Panbari,Panbari,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Berlin/Potsdam,Berlin/Potsdam,LOC,0.07894737,0.00000000,de,1.90000000,,-1,,,,,,
sn,sn,LOC,-0.12280702,0.00000000,de,1.90000000,,-1,,,,,,
Dienstag,Dienstag,LOC,0.36842105,0.00000000,de,1.90000000,,-1,,,,,,
Potsdam/Berlin,Potsdam/Berlin,LOC,-0.36842105,0.00000000,de,1.90000000,,-1,,,,,,
Landeshälfte,Landeshälfte,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Glatteises,Glatteises,LOC,0.00000000,1.05263158,de,1.90000000,,-1,,,,,,
Brandenburgs,Brandenburgs,LOC,0.73684211,0.00000000,de,1.90000000,,-1,,,,,,
Eiskratzer,Eiskratzer,LOC,-0.18421053,0.78947368,de,1.90000000,,-1,,,,,,
Innsbruck,Innsbruck,LOC,0.73684211,0.00000000,de,1.90000000,4027096-8,2775220,X,47.26250000,11.39444400,EUROPE,Austria,WCE
Hochlagen,Hochlagen,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Südosteuropa,Südosteuropa,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Verkehrsproblemen,Verkehrsproblemen,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Rutschpartien,Rutschpartien,LOC,-1.05263158,0.00000000,de,1.90000000,,-1,,,,,,
Minusbereich,Minusbereich,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
A93,A93,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Ischgl,Ischgl,LOC,0.36842105,0.00000000,de,1.90000000,4261861-7,2775183,X,47.01256900,10.29179000,EUROPE,Austria,WCE
Ermäßigungen,Ermäßigungen,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Landkreis Heidenheim,Landkreis Heidenheim,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Kurzes Wintergastspiel,Kurzes Wintergastspiel,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Unfällen,Unfällen,LOC,-0.07894737,0.00000000,de,1.90000000,,-1,,,,,,
Hoch Sieglinde,Hoch Sieglinde,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Komfort,Komfort,LOC,0.73684211,0.00000000,de,1.90000000,,-1,,,,,,
Kreis Kusel,Kreis Kusel,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Kusel,Kusel,LOC,0.00000000,0.00000000,de,1.90000000,4033862-9,2882265,X,49.53772000,7.40472000,EUROPE,Germany,WCE
Tübingen,Tübingen,LOC,0.00000000,0.00000000,de,1.90000000,4061147-4,2820860,X,48.52266000,9.05222000,EUROPE,Germany,WCE
Graz,Graz,LOC,0.73684211,0.00000000,de,1.90000000,4021912-4,2778067,X,47.06666600,15.45000000,EUROPE,Austria,WCE
Schneechaos,Schneechaos,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Klagenfurt,Klagenfurt,LOC,0.73684211,0.00000000,de,1.90000000,4030921-6,2774326,X,46.62472200,14.30527700,EUROPE,Austria,WCE
Niederösterreich,Niederösterreich,LOC,0.00000000,0.00000000,de,1.90000000,4075391-8,2770542,X,48.33332900,15.75000000,EUROPE,Austria,WCE
Schnees,Schnees,LOC,0.00000000,1.05263158,de,1.90000000,,-1,,,,,,
Rekordkälte an der Ostküste,Rekordkälte an der Ostküste,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Hessens Berge,Hessens Berge,LOC,0.00000000,1.05263158,de,1.90000000,,-1,,,,,,
Schneefallgrenze,Schneefallgrenze,LOC,-0.52631579,0.00000000,de,1.90000000,,-1,,,,,,
Jahrzehnten,Jahrzehnten,LOC,0.36842105,0.52631579,de,1.90000000,,-1,,,,,,
Potsdam,Potsdam,LOC,0.36842105,0.00000000,de,1.90000000,4046948-7,2852458,X,52.39885900,13.06565900,EUROPE,Germany,WCE
Dauerfrost,Dauerfrost,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Fahrbahn,Fahrbahn,LOC,0.73684211,0.00000000,de,1.90000000,,-1,,,,,,
Kommunen,Kommunen,LOC,0.73684211,0.00000000,de,1.90000000,,-1,,,,,,
bayerischen Alpen,bayerischen Alpen,LOC,0.36842105,0.00000000,de,1.90000000,,-1,,,,,,
Thüringer Skigebieten,Thüringer Skigebieten,LOC,-0.36842105,0.00000000,de,1.90000000,,-1,,,,,,
Berchtesgadener Alpen,Berchtesgadener Alpen,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Österreichs,Österreichs,LOC,0.18421053,0.26315789,de,1.90000000,,-1,,,,,,
Oberösterreich,Oberösterreich,LOC,0.52631579,0.00000000,de,1.90000000,4075560-5,2769848,X,48.25000000,14.00000000,EUROPE,Austria,WCE
Streumittel,Streumittel,LOC,0.36842105,0.00000000,de,1.90000000,,-1,,,,,,
Nordmeer,Nordmeer,LOC,-0.36842105,0.00000000,de,1.90000000,,-1,,,,,,
Oberlausitz,Oberlausitz,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Niederlausitz,Niederlausitz,LOC,0.00000000,0.00000000,de,1.90000000,4042205-7,2880011,X,51.51312900,13.34773900,EUROPE,Germany,WCE
Hessens Bergen,Hessens Bergen,LOC,-0.26315789,0.26315789,de,1.90000000,,-1,,,,,,
Thüringer,Thüringer,LOC,0.36842105,0.00000000,de,1.90000000,,-1,,,,,,
Schmitten,Schmitten,LOC,-0.63157895,0.26315789,de,1.90000000,,-1,,,,,,
Oberbayern,Oberbayern,LOC,-0.18421053,0.26315789,de,1.90000000,,-1,,,,,,
Schockstarre,Schockstarre,LOC,0.36842105,0.00000000,de,1.90000000,,-1,,,,,,
feucht-kühl,feucht-kühl,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
st…,st…,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Zermatt,Zermatt,LOC,0.00000000,0.00000000,de,1.90000000,4108981-9,2657928,X,46.02000000,7.74861100,EUROPE,Switzerland,WCE
Frankfurter Messe,Frankfurter Messe,LOC,0.00000000,0.00000000,de,1.30000000,,-1,,,,,,
Friedrich-Ebert-Anlage,Friedrich-Ebert-Anlage,LOC,0.00000000,0.00000000,de,1.30000000,,-1,,,,,,
Schulgesetz,Schulgesetz,LOC,0.00000000,2.30769231,de,1.30000000,,-1,,,,,,
Herbststurm,Herbststurm,LOC,0.00000000,0.00000000,de,1.20000000,,-1,,,,,,
Regenschauer,Regenschauer,LOC,0.00000000,0.00000000,de,1.20000000,,-1,,,,,,
Gelnhausen,Gelnhausen,LOC,-0.27777778,0.00000000,de,1.20000000,4019945-9,2921473,X,50.20163900,9.18741900,EUROPE,Germany,WCE
Donnerstag,Donnerstag,LOC,-0.37500000,0.00000000,de,1.20000000,,-1,,,,,,
Uber Arena,Uber Arena,LOC,0.41666667,0.41666667,de,1.20000000,,-1,,,,,,
Frankfurt,Frankfurt,LOC,1.41666667,0.00000000,de,1.20000000,,-1,,,,,,
Orkanartige Böen,Orkanartige Böen,LOC,-1.75000000,0.00000000,de,1.20000000,,-1,,,,,,
St. Anton,St. Anton,LOC,-0.31818182,1.36363636,de,1.10000000,,-1,,,,,,
Nächtigungszahlen,Nächtigungszahlen,LOC,1.81818182,0.00000000,de,1.10000000,,-1,,,,,,
Fuldatal,Fuldatal,LOC,-0.30303030,0.00000000,de,1.10000000,4018865-6,2923815,X,51.38333000,9.56667000,EUROPE,Germany,WCE
der Schweiz,der Schweiz,LOC,-1.81818182,0.00000000,de,1.10000000,,-1,,,,,,
Gletscher,Gletscher,LOC,0.00000000,0.00000000,de,1.10000000,,-1,,,,,,
Skireisen,Skireisen,LOC,0.00000000,0.00000000,de,1.10000000,,-1,,,,,,
Orkanböen,Orkanböen,LOC,-0.90909091,0.00000000,de,1.10000000,,-1,,,,,,
Wilhelmshaven,Wilhelmshaven,LOC,-0.90909091,0.00000000,de,1.10000000,4066173-8,2808720,X,53.52998000,8.11252900,EUROPE,Germany,NEU
Herr Ebel,Herr Ebel,LOC,-1.27272727,0.00000000,de,1.10000000,,-1,,,,,,
Hochpreis-Image,Hochpreis-Image,LOC,0.00000000,0.00000000,de,1.10000000,,-1,,,,,,
Zermatter Bergbahnen,Zermatter Bergbahnen,LOC,0.00000000,0.00000000,de,1.10000000,,-1,,,,,,
Ost-,Ost-,LOC,0.00000000,0.00000000,de,1.10000000,,-1,,,,,,
Rheinland,Rheinland,LOC,0.00000000,0.00000000,de,1.10000000,,-1,,,,,,
Oberrheingraben,Oberrheingraben,LOC,0.00000000,0.00000000,de,1.10000000,,-1,,,,,,
Saisonstart,Saisonstart,LOC,0.00000000,0.00000000,de,1.10000000,,-1,,,,,,
